"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
19079_3,204,"191P","",3,"","",""
19520_3,204,"402","",3,"","",""
19521_3,204,"682","",3,"","",""
19560_3,204,"79S","",3,"","",""
19743_3,204,"140","",3,"","",""
19744_3,204,"140P","",3,"","",""
19746_3,204,"42","",3,"","",""
19748_3,204,"89S","",3,"","",""
20598_3,204,"215","",3,"","",""
20600_3,204,"220","",3,"","",""
20601_3,204,"221","",3,"","",""
20602_3,204,"222","",3,"","",""
20603_3,204,"223","",3,"","",""
20604_3,204,"225","",3,"","",""
20605_3,204,"226","",3,"","",""
20606_3,204,"230","",3,"","",""
20608_3,204,"240","",3,"","",""
20610_3,204,"250","",3,"","",""
20611_3,204,"261","",3,"","",""
20612_3,204,"262","",3,"","",""
20613_3,204,"263","",3,"","",""
20614_3,204,"264","",3,"","",""
20615_3,204,"274","",3,"","",""
20616_3,204,"280","",3,"","",""
20617_3,204,"281","",3,"","",""
20618_3,204,"362","",3,"","",""
20619_3,204,"557","",3,"","",""
20961_3,204,"241","",3,"","",""
21035_3,204,"153","",3,"","",""
21036_3,204,"192P","",3,"","",""
21037_3,204,"23","",3,"","",""
21038_3,204,"44","",3,"","",""
21039_3,204,"53","",3,"","",""
21203_3,204,"811U","",3,"","",""
21204_3,204,"812U","",3,"","",""
21205_3,204,"813U","",3,"","",""
21300_3,204,"21E","",3,"","",""
21302_3,204,"31E","",3,"","",""
21306_3,204,"60E","",3,"","",""
21308_3,204,"61E","",3,"","",""
21328_3,204,"110E","",3,"","",""
21331_3,204,"268E","",3,"","",""
21390_3,204,"51E","",3,"","",""
21403_3,204,"195","",3,"","",""
21405_3,204,"195N","",3,"","",""
21406_3,204,"195P","",3,"","",""
21410_3,204,"842U","",3,"","",""
21520_3,204,"123S","",3,"","",""
21523_3,204,"192S","",3,"","",""
21524_3,204,"195S","",3,"","",""
21526_3,204,"30S","",3,"","",""
21527_3,204,"33S","",3,"","",""
21529_3,204,"590","",3,"","",""
