"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station"
000008600790,"","Solrød Strand St.",,"55.533318000000","12.218064000000",0,
000613930100,"","Hedensted, Bredgade",,"55.769743000000","9.696935000000",0,
000615100900,"","Rådhuset/O. Jensens Allé (Horsens)",,"55.860149000000","9.846945000000",0,
000833002100,"","Døstrupvej Nord (Ravnkilde)",,"56.753278000000","9.756616000000",0,
000663000400,"","Engesvang st.",,"56.167961000000","9.351209000000",0,
000627743300,"","Hornborg (Uldum)",,"55.853150000000","9.665441000000",0,
000601840100,"","Sdr. Vissing. Gudenåvej/Gl. Ryvej (Brædstrup)",,"56.020771000000","9.643182000000",0,
000803000800,"","Enebærvænget (Kirkegade / Brovst)",,"57.091272000000","9.526496000000",0,
000773201600,"","Lyngbro (Morsø Kommune)",,"56.812166000000","8.755903000000",0,
000861000600,"","Østrup (Nørregade / Vesthimm. komm.)",,"56.748921000000","9.474392000000",0,
000749100500,"","Løve",,"56.012194000000","9.487490000000",0,
000851100700,"","Prinsensgade (Aalborg)",,"57.045815000000","9.915214000000",0,
000749000500,"","Salten",,"56.082807000000","9.569464000000",0,
000821012600,"","Vester Hedevej (Ringvejen / Hjørring)",,"57.462996000000","10.017100000000",0,
000821032100,"","Banegraven (Hjørring)",,"57.462753000000","9.969301000000",0,
000787004700,"","Korsgade (Thisted)",,"56.955925000000","8.695443000000",0,
000821400200,"","Skallerup Friskole (Villerupvej / Hjørring Komm.)",,"57.460552000000","9.868163000000",0,
000851200700,"","Drastrup (Nibevej/Drastrup)",,"57.005498000000","9.862903000000",0,
000831100500,"","Lundby (Nibe)",,"56.955432000000","9.434970000000",0,
000007400003,"","Malmö C",,"55.609442000000","13.000840000000",0,
000601850100,"","Voerladegård (Brædstrup)",,"56.024846000000","9.738635000000",0,
000831000500,"","Sebbersund (Brogade / Aalborg Kommune)",,"56.964431000000","9.565969000000",0,
000821100200,"","Ilbro (Ilbro Byvej / Hjørring Kommune)",,"57.420968000000","10.047105000000",0,
000821000200,"","Harken (Kornmarken / Hjørring Kommune)",,"57.392131000000","9.985871000000",0,
000827201200,"","Sønderlade (Sønderladevej /  Vesthimm. Komm.)",,"56.841838000000","9.253798000000",0,
000811100300,"","Skerping (Aggersundvej / Jammerbugt Kommune)",,"57.056763000000","9.278360000000",0,
000821300200,"","Mygdal (Skagen Landevej / Hjørring Kommune)",,"57.542410000000","10.091266000000",0,
000807001000,"","Melholt (Brønderslev Kommune)",,"57.104461000000","10.364832000000",0,
000811000300,"","Vust (Thistedvej / Jammerbugt Kommune)",,"57.114673000000","9.068031000000",0,
000821200200,"","Sæsing (Sæby Landevej / Hjørring Kommune)",,"57.365586000000","10.188612000000",0,
000833002800,"","Bisgård (Fyrkildevej / Rebild Kommune)",,"56.756571000000","9.714665000000",0,
000779100100,"","Hindborg",,"56.624201000000","8.951466000000",0,
000779000100,"","HøjslevV/Brugsen",,"56.550735000000","9.109080000000",0,
000811200300,"","Nørtorup Kær (Nørtorupvej / Jammerbugt Komm.)",,"57.116472000000","9.364131000000",0,
000823002900,"","Sønder Onsild (Mariagerfjord Kommune)",,"56.586083000000","9.760583000000",0,
000851012200,"","Politigården (Jyllandsgade / Aalborg)",,"57.042383000000","9.926254000000",0,
000773101100,"","Vester Assels (Morsø Kommune)",,"56.700900000000","8.647011000000",0,
000601800600,"","Gammelstrup (Brædstrup)",,"55.978019000000","9.681750000000",0,
000601820100,"","Hårup (Brædstrup)",,"55.925097000000","9.602276000000",0,
000008600646,"","Nørreport St.",,"55.683452000000","12.571804000000",0,
000008600644,"","Ryparken St.",,"55.715362000000","12.559492000000",0,
000861100100,"","Blære Forsamlingshus (Gl. Blærevej/Vesthim. Kom)",,"56.863047000000","9.514347000000",0,
000008600645,"","Vesterport St.",,"55.676011000000","12.562087000000",0,
000008600642,"","Nørrebro St.",,"55.700847000000","12.537806000000",0,
000008600640,"","Fuglebakken St.",,"55.695429000000","12.527382000000",0,
000773201100,"","Flade (Morsø Kommune)",,"56.888493000000","8.791103000000",0,
000861000100,"","Aars Busterminal (Vesthimmerlands Komm.)",,"56.802831000000","9.511459000000",0,
000008600641,"","Grøndal St.",,"55.690738000000","12.516007000000",0,
000861300100,"","Borup (Halkærvej / Vesthimm. Komm.)",,"56.920873000000","9.503922000000",0,
000861200100,"","Hvorvarp (Hvorvarpvej / Vesthimm. Komm.)",,"56.824785000000","9.456410000000",0,
000008601627,"","Skibstrup St.",,"56.078261000000","12.512767000000",0,
000839150300,"","Fjeldsted (Hjørringvej / Hjørring Kommune)",,"57.463504000000","10.157180000000",0,
000008601625,"","Saunte St.",,"56.076971000000","12.484707000000",0,
000008601623,"","Marienlyst St.",,"56.043290000000","12.602319000000",0,
000008601620,"","Karinebæk St.",,"56.083155000000","12.468205000000",0,
000813019300,"","Gammeltorv (Frederikshavn)",,"57.447939000000","10.539131000000",0,
000839050300,"","Enggården (Hjørringvej / Hjørring Kommune)",,"57.456241000000","10.095315000000",0,
000008601621,"","Kildekrog St.",,"56.092687000000","12.423402000000",0,
000851302200,"","Medborgerhuset (Nytorv / Aalborg)",,"57.047295000000","9.927728000000",0,
000805021300,"","Byvasen (Brønderslev Kommune)",,"57.284491000000","9.794107000000",0,
000819050100,"","Sønder Bindslev (Sdr. Bindslevvej / Hjørring Kom.)",,"57.524006000000","10.196968000000",0,
000831002000,"","Djørup (Pindstrupvej / Aalborg Kommune)",,"56.938940000000","9.593818000000",0,
000615105500,"","Saturnvej (Horsens)",,"55.831263000000","9.789833000000",0,
000773101800,"","Mollerup (Morsø Kommune)",,"56.783837000000","8.712240000000",0,
000401026300,"","Gudhjem Øvre",,"55.208758000000","14.971176000000",0,
000601800100,"","Brædstrup rtb.",,"55.972064000000","9.609447000000",0,
000787900100,"","Sperring (Vorupørvej / Thisted Kommune)",,"56.940795000000","8.559234000000",0,
000861100800,"","Blære Stationsby (Vesthimm. Komm.)",,"56.856851000000","9.526594000000",0,
000601802500,"","Brokhøjvej/Havbækvej (Brædstrup)",,"56.009766000000","9.632413000000",0,
000787010100,"","Grandalsvej S (Thisted)",,"56.949858000000","8.649610000000",0,
000787800100,"","Kelstrup (Kjelstrupvej / Thisted Kommune)",,"56.993370000000","8.753138000000",0,
000805011300,"","Rømersvej (Markedsvej / Brønderslev)",,"57.273787000000","9.960881000000",0,
000845001700,"","Ved Bjerget (Over Bækken / Støvring)",,"56.882444000000","9.820352000000",0,
000861000800,"","Hans Egedes Vej (Hobrovej / Aars)",,"56.802697000000","9.532859000000",0,
000625711700,"","Højlund",,"55.973021000000","9.364727000000",0,
000851100900,"","Vesterbro (Aalborg)",,"57.050262000000","9.916411000000",0,
000805013700,"","Engparken (Brønderslev)",,"57.266741000000","9.925246000000",0,
000821012800,"","Sundhedshus (Lundtoftevej N / Hjørring)",,"57.451189000000","10.006240000000",0,
000609150400,"","Stenbjerg (Østbirk)",,"55.945242000000","9.785827000000",0,
000787500100,"","Feggesund Nord (Thisted Kommune)",,"56.985738000000","8.909941000000",0,
000407011300,"","Rosenvej (Bornholm)",,"55.113301000000","14.708455000000",0,
000787400100,"","Stenbjerg Kirke (Thisted Kommune)",,"56.921205000000","8.358545000000",0,
000008603527,"","Hørve St.",,"55.752481000000","11.456293000000",0,
